,X,Y,Speed,Boosts,Mud_0,Mud_1,Mud_2,Mud_3,Speed_0,Speed_1,Speed_2,Speed_3,Move,Mud_Through,Objective
18180,394,2,9,0,2,1,0,1,1,2,0,0,0,0,0
18181,403,2,9,0,3,1,0,1,1,2,0,0,1,1,4
18182,411,1,8,2,2,0,0,1,0,0,0,0,3,0,6
18183,426,1,15,1,2,2,2,2,0,0,0,0,0,1,10
18184,441,1,9,1,2,3,4,4,0,0,1,0,0,1,6
18185,450,1,8,1,2,2,2,4,0,0,1,0,0,2,4
18186,459,1,6,1,1,1,1,1,0,0,1,0,3,1,5
18187,474,1,9,0,2,3,2,5,0,0,1,0,2,0,6
18188,482,2,9,1,2,3,3,7,0,0,0,0,0,2,9
18189,491,2,6,1,2,3,2,4,1,0,0,1,3,2,5
18190,506,2,8,0,1,2,1,2,0,0,0,1,2,1,0
18191,513,3,6,1,0,4,3,1,0,0,0,0,0,1,1
18192,521,3,6,1,0,4,3,1,0,0,0,0,3,0,5
18193,536,3,15,0,2,2,1,1,0,0,0,0,1,0,9
18194,550,2,15,0,1,2,4,0,0,1,0,0,1,2,5
18195,564,1,8,0,1,0,2,2,0,1,0,0,0,0,0
18196,573,1,9,1,3,0,3,3,0,0,0,0,3,0,0
18197,588,1,15,0,3,1,2,1,0,1,0,0,0,0,7
18198,603,1,15,1,5,2,0,2,0,0,1,0,2,0,9
18199,617,2,15,2,2,1,2,2,0,1,1,0,1,1,6
18200,631,1,9,3,4,1,2,1,0,0,1,0,3,1,7
18201,646,1,9,2,2,0,2,2,0,0,0,0,3,0,2
18202,661,1,15,1,0,1,0,3,0,0,0,0,0,1,10
18203,676,1,9,1,1,1,2,1,0,0,0,0,3,0,6
18204,691,1,15,0,1,3,2,3,0,0,0,0,2,2,10
18205,705,2,8,0,3,1,0,5,0,0,0,0,0,0,4
18206,714,2,9,0,4,2,3,1,0,1,1,0,2,0,8
18207,722,3,9,0,3,1,3,2,0,1,1,0,1,1,0
18208,730,2,8,1,2,0,2,1,0,1,0,0,0,2,5
18209,739,2,6,1,2,2,0,2,0,0,0,0,3,0,4
18210,754,2,15,0,1,4,4,1,0,0,0,0,2,1,9
18211,768,3,9,0,3,2,2,0,0,0,0,1,0,0,0
18212,777,3,9,0,2,2,1,0,0,0,0,1,0,0,5
18213,786,3,9,1,1,1,2,1,0,0,0,0,3,0,10
18214,801,3,15,0,3,2,3,2,0,0,0,0,0,1,10
18215,816,3,9,0,2,0,4,2,0,0,0,0,0,2,9
18216,825,3,6,0,2,0,2,2,0,1,0,0,0,0,4
18217,833,3,8,0,2,0,2,2,1,1,0,0,0,2,5
18218,842,3,6,0,2,1,2,1,1,0,0,0,0,0,5
18219,850,3,8,0,2,2,2,3,0,0,0,0,0,1,5
18220,859,3,8,0,3,2,1,2,0,0,0,0,0,2,4
18221,868,3,6,0,3,0,2,0,0,1,0,0,0,0,4
18222,876,3,8,0,3,2,3,2,0,1,0,0,0,0,5
18223,885,3,9,0,3,3,1,3,0,0,0,0,0,1,6
18224,894,3,8,0,3,3,1,4,0,0,0,0,1,0,4
18225,901,2,8,0,5,1,2,3,0,0,0,0,0,1,8
18226,910,2,8,0,4,1,2,1,0,0,0,0,0,0,7
18227,919,2,9,0,2,1,3,1,0,0,1,0,0,2,5
18228,928,2,6,0,2,3,1,4,0,0,1,0,0,1,4
18229,936,2,6,1,1,3,1,4,0,0,0,0,3,1,5
18230,951,2,9,0,3,2,4,2,0,0,0,0,2,1,5
18231,959,3,8,0,5,4,3,1,0,1,0,0,0,1,4
18232,968,3,8,0,4,6,1,0,0,1,0,0,0,0,4
18233,977,3,9,0,4,5,2,2,0,0,0,0,0,0,6
18234,986,3,9,0,4,1,2,2,0,1,0,0,1,0,5
18235,994,2,9,0,3,0,4,3,0,1,0,0,0,1,5
18236,1003,2,8,0,3,1,5,2,0,1,0,0,1,0,0
18237,1010,1,8,1,2,1,3,0,0,0,1,0,0,1,1
18238,1019,1,8,1,0,0,2,1,0,0,1,0,3,0,1
18239,1034,1,15,0,0,1,4,0,0,0,0,1,1,0,4
18240,1048,0,15,0,0,1,4,1,0,0,1,0,2,0,8
18241,1062,1,15,0,2,2,0,1,0,1,1,0,2,0,9
18242,1076,2,15,1,2,3,2,1,0,1,0,0,1,2,10
18243,1090,1,8,2,2,2,4,2,0,0,0,0,3,2,2
18244,1105,1,8,1,1,3,1,2,0,0,0,0,2,1,1
18245,1112,2,6,1,0,3,1,2,0,0,0,0,3,0,1
18246,1127,2,15,0,0,0,4,3,0,0,0,0,1,0,5
18247,1141,1,15,0,0,0,3,1,0,0,0,0,0,0,5
18248,1156,1,15,0,0,0,0,1,0,0,0,0,0,0,9
